ncalls,tottime,percall,cumtime,percall,filename:lineno(function),,,,,,,
850,0.002,0,0.002,0,{built-in,method,__new__,of,type,object,at,0xa3bda0}
10065,0.002,0,0.002,0,{built-in,method,builtins.isinstance},,,,,
1446,0.002,0,0.002,0,{built-in,method,time.time},,,,,
1,0.002,0.002,0.002,0.002,{moveWindow},,,,,,,
385/4,0.001,0,0.303,0.076,<frozen,importlib._bootstrap>:939(_find_and_load_unlocked),,,,,,
319/4,0.001,0,0.302,0.076,<frozen,importlib._bootstrap_external>:659(exec_module),,,,,,
357/28,0.001,0,0.238,0.008,{built-in,method,builtins.__import__},,,,,
1548/581,0.001,0,0.215,0,<frozen,importlib._bootstrap>:996(_handle_fromlist),,,,,,
15,0.001,0,0.192,0.013,__init__.py:1(<module>),,,,,,,
97,0.001,0,0.041,0,sre_compile.py:531(compile),,,,,,,
319,0.001,0,0.034,0,<frozen,importlib._bootstrap_external>:474(_compile_bytecode),,,,,,
363,0.001,0,0.032,0,<frozen,importlib._bootstrap>:570(module_from_spec),,,,,,
413/98,0.001,0,0.023,0,sre_parse.py:429(_parse_sub),,,,,,,
67,0.001,0,0.012,0,MultiplePeopleCounter.py:674(count_out),,,,,,,
26/22,0.001,0,0.012,0.001,{built-in,method,_imp.exec_dynamic},,,,,
99,0.001,0,0.009,0,MultiplePeopleCounter.py:373(write_count_to_log),,,,,,,
31,0.001,0,0.007,0,MultiplePeopleCounter.py:686(count_in),,,,,,,
618,0.001,0,0.007,0,_inspect.py:98(getargspec),,,,,,,
1448,0.001,0,0.006,0,<frozen,importlib._bootstrap_external>:68(_path_stat),,,,,,
456,0.001,0,0.006,0,sre_compile.py:221(_compile_charset),,,,,,,
385,0.001,0,0.004,0,<frozen,importlib._bootstrap>:163(__enter__),,,,,,
345,0.001,0,0.004,0,<frozen,importlib._bootstrap_external>:342(_get_cached),,,,,,
1,0.001,0.001,0.003,0.003,_openni2.py:3(<module>),,,,,,,
46,0.001,0,0.003,0,abc.py:132(__new__),,,,,,,
273,0.001,0,0.003,0,function_base.py:441(add_newdoc),,,,,,,
97,0.001,0,0.003,0,sre_compile.py:412(_compile_info),,,,,,,
749,0.001,0,0.002,0,<frozen,importlib._bootstrap>:119(release),,,,,,
749,0.001,0,0.002,0,<frozen,importlib._bootstrap>:176(_get_module_lock),,,,,,
364,0.001,0,0.002,0,<frozen,importlib._bootstrap>:195(_lock_unlock_module),,,,,,
363,0.001,0,0.002,0,<frozen,importlib._bootstrap>:321(__exit__),,,,,,
735,0.001,0,0.002,0,<frozen,importlib._bootstrap_external>:1064(_path_importer_cache),,,,,,
345,0.001,0,0.002,0,<frozen,importlib._bootstrap_external>:1210(_get_spec),,,,,,
10,0.001,0,0.002,0,enum.py:88(__new__),,,,,,,
3964,0.001,0,0.002,0,sre_parse.py:242(match),,,,,,,
4415/4347,0.001,0,0.002,0,{method,'join',of,'str',objects},,,
386,0.001,0,0.001,0,<frozen,importlib._bootstrap>:74(__init__),,,,,,
3376,0.001,0,0.001,0,<frozen,importlib._bootstrap_external>:366(_verbose_message),,,,,,
345,0.001,0,0.001,0,<frozen,importlib._bootstrap_external>:513(spec_from_file_location),,,,,,
638,0.001,0,0.001,0,<frozen,importlib._bootstrap_external>:56(_path_split),,,,,,
1,0.001,0.001,0.001,0.001,<string>:5(SplitResult),,,,,,,
1,0.001,0.001,0.001,0.001,<string>:5(uname_result),,,,,,,
873,0.001,0,0.001,0,MultiplePeopleCounter.py:697(track_lost_callback),,,,,,,
166,0.001,0,0.001,0,_weakrefset.py:36(__init__),,,,,,,
387,0.001,0,0.001,0,functools.py:73(wraps),,,,,,,
187,0.001,0,0.001,0,sre_compile.py:376(<listcomp>),,,,,,,
547,0.001,0,0.001,0,sre_compile.py:386(_simple),,,,,,,
1967,0.001,0,0.001,0,sre_parse.py:153(__len__),,,,,,,
1633,0.001,0,0.001,0,sre_parse.py:165(append),,,,,,,
1648,0.001,0,0.001,0,sre_parse.py:276(tell),,,,,,,
1,0.001,0.001,0.001,0.001,threading.py:736(Thread),,,,,,,
18,0.001,0,0.001,0,{built-in,method,_imp.create_builtin},,,,,
1,0.001,0.001,0.001,0.001,{built-in,method,_posixsubprocess.fork_exec},,,,,
2607,0.001,0,0.001,0,{built-in,method,builtins.min},,,,,
3069,0.001,0,0.001,0,{built-in,method,builtins.setattr},,,,,
1,0.001,0.001,0.001,0.001,{built-in,method,posix.fork},,,,,
33,0.001,0,0.001,0,{built-in,method,posix.listdir},,,,,
1,0.001,0.001,0.001,0.001,{built-in,method,posix.read},,,,,
1,0.001,0.001,0.001,0.001,{destroyAllWindows},,,,,,,
925,0.001,0,0.001,0,{method,'pop',of,'dict',objects},,,
1,0.001,0.001,0.001,0.001,{method,'read',of,'_io.BufferedReader',objects},,,
2903,0.001,0,0.001,0,{method,'rpartition',of,'str',objects},,,
7637,0.001,0,0.001,0,{method,'rstrip',of,'str',objects},,,
4039,0.001,0,0.001,0,{method,'startswith',of,'str',objects},,,
2,0,0,964.565,482.283,main.py:3(<module>),,,,,,,
1,0,0,964.264,964.264,people_counting_depth_cam.py:28(main),,,,,,,
481/4,0,0,0.302,0.076,<frozen,importlib._bootstrap>:214(_call_with_frames_removed),,,,,,
1,0,0,0.3,0.3,MultiplePeopleCounter.py:2(<module>),,,,,,,
1,0,0,0.3,0.3,people_counting_depth_cam.py:2(<module>),,,,,,,
1,0,0,0.165,0.165,__init__.py:106(<module>),,,,,,,
2,0,0,0.091,0.045,__init__.py:41(<module>),,,,,,,
3,0,0,0.077,0.026,__init__.py:3(<module>),,,,,,,
1,0,0,0.052,0.052,connectionpool.py:1(<module>),,,,,,,
101,0,0,0.041,0,re.py:222(compile),,,,,,,
362,0,0,0.026,0,<frozen,importlib._bootstrap_external>:1133(find_spec),,,,,,
1,0,0,0.024,0.024,exceptions.py:1(<module>),,,,,,,
98/97,0,0,0.024,0,sre_parse.py:819(parse),,,,,,,
26,0,0,0.022,0.001,<frozen,importlib._bootstrap_external>:903(create_module),,,,,,
1,0,0,0.022,0.022,index_tricks.py:1(<module>),,,,,,,
1,0,0,0.021,0.021,numeric.py:1(<module>),,,,,,,
2,0,0,0.02,0.01,connection.py:1(<module>),,,,,,,
1,0,0,0.02,0.02,multiarray.py:7(<module>),,,,,,,
1,0,0,0.019,0.019,utils.py:9(<module>),,,,,,,
97,0,0,0.016,0,sre_compile.py:516(_code),,,,,,,
1,0,0,0.016,0.016,ssl_.py:1(<module>),,,,,,,
1,0,0,0.016,0.016,url.py:1(<module>),,,,,,,
22/21,0,0,0.015,0.001,<frozen,importlib._bootstrap>:436(spec_from_loader),,,,,,
17,0,0,0.015,0.001,<frozen,importlib._bootstrap>:870(_find_spec_legacy),,,,,,
2,0,0,0.015,0.007,__init__.py:45(<module>),,,,,,,
1,0,0,0.015,0.015,overrides.py:1(<module>),,,,,,,
4,0,0,0.015,0.004,six.py:112(_resolve),,,,,,,
1,0,0,0.015,0.015,six.py:115(__getattr__),,,,,,,
4,0,0,0.015,0.004,six.py:205(is_package),,,,,,,
7,0,0,0.015,0.002,six.py:80(_import_module),,,,,,,
1,0,0,0.014,0.014,_internal.py:6(<module>),,,,,,,
1,0,0,0.013,0.013,MultiplePeopleCounterConfig.py:2(<module>),,,,,,,
1,0,0,0.013,0.013,client.py:69(<module>),,,,,,,
26/22,0,0,0.012,0.001,<frozen,importlib._bootstrap_external>:911(exec_module),,,,,,
67,0,0,0.012,0,Counters.py:82(notify_out_event),,,,,,,
1,0,0,0.012,0.012,_internal_utils.py:9(<module>),,,,,,,
1,0,0,0.012,0.012,compat.py:9(<module>),,,,,,,
1,0,0,0.012,0.012,fromnumeric.py:3(<module>),,,,,,,
1,0,0,0.012,0.012,parser.py:5(<module>),,,,,,,
1,0,0,0.012,0.012,platform.py:10(<module>),,,,,,,
1,0,0,0.011,0.011,defmatrix.py:1(<module>),,,,,,,
1,0,0,0.011,0.011,feedparser.py:20(<module>),,,,,,,
1,0,0,0.01,0.01,__init__.py:10(<module>),,,,,,,
2,0,0,0.01,0.005,__init__.py:15(<module>),,,,,,,
18,0,0,0.01,0.001,__init__.py:356(namedtuple),,,,,,,
1,0,0,0.01,0.01,cyaml.py:3(<module>),,,,,,,
1,0,0,0.01,0.01,defchararray.py:17(<module>),,,,,,,
1,0,0,0.01,0.01,message.py:5(<module>),,,,,,,
1,0,0,0.009,0.009,DriverProcess.py:2(<module>),,,,,,,
1,0,0,0.009,0.009,py3k.py:4(<module>),,,,,,,
1,0,0,0.008,0.008,Driver3Dcam.py:3(<module>),,,,,,,
1,0,0,0.008,0.008,__init__.py:19(<module>),,,,,,,
2,0,0,0.008,0.004,function_base.py:1(<module>),,,,,,,
1,0,0,0.008,0.008,linalg.py:10(<module>),,,,,,,
31,0,0,0.007,0,Counters.py:93(notify_in_event),,,,,,,
1,0,0,0.007,0.007,MultiplePeopleCounter.py:1004(instantiate_counter_from_args),,,,,,,
1,0,0,0.007,0.007,MultiplePeopleCounter.py:44(__init__),,,,,,,
1,0,0,0.007,0.007,__init__.py:7(<module>),,,,,,,
1,0,0,0.007,0.007,context.py:1(<module>),,,,,,,
1,0,0,0.007,0.007,openni2.py:3(<module>),,,,,,,
1,0,0,0.007,0.007,ssl.py:88(<module>),,,,,,,
1,0,0,0.007,0.007,universaldetector.py:36(<module>),,,,,,,
1,0,0,0.007,0.007,utils.py:5(<module>),,,,,,,
2,0,0,0.005,0.002,shape_base.py:1(<module>),,,,,,,
664,0,0,0.004,0,<frozen,importlib._bootstrap>:406(cached),,,,,,
1,0,0,0.004,0.004,__init__.py:124(<module>),,,,,,,
1,0,0,0.004,0.004,_add_newdocs.py:10(<module>),,,,,,,
1,0,0,0.004,0.004,_dtype_ctypes.py:24(<module>),,,,,,,
1,0,0,0.004,0.004,_pickle.py:1(<module>),,,,,,,
1,0,0,0.004,0.004,cookiejar.py:26(<module>),,,,,,,
1,0,0,0.004,0.004,mbcsgroupprober.py:30(<module>),,,,,,,
1,0,0,0.004,0.004,numerictypes.py:81(<module>),,,,,,,
23,0,0,0.004,0,overrides.py:200(decorator),,,,,,,
321,0,0,0.004,0,re.py:175(sub),,,,,,,
1,0,0,0.004,0.004,shutil.py:5(<module>),,,,,,,
1,0,0,0.004,0.004,tempfile.py:24(<module>),,,,,,,
449,0,0,0.003,0,<frozen,importlib._bootstrap_external>:87(_path_isfile),,,,,,
1,0,0,0.003,0.003,constructor.py:3(<module>),,,,,,,
1,0,0,0.003,0.003,context.py:136(Array),,,,,,,
1,0,0,0.003,0.003,cookies.py:127(<module>),,,,,,,
1,0,0,0.003,0.003,nanfunctions.py:22(<module>),,,,,,,
1,0,0,0.003,0.003,pathlib.py:1(<module>),,,,,,,
1,0,0,0.003,0.003,pickle.py:24(<module>),,,,,,,
1,0,0,0.003,0.003,polynomial.py:4(<module>),,,,,,,
1,0,0,0.003,0.003,sjisprober.py:28(<module>),,,,,,,
1,0,0,0.003,0.003,socket.py:47(<module>),,,,,,,
1,0,0,0.003,0.003,threading.py:1(<module>),,,,,,,
