ncalls tottime percall cumtime percall filename:lineno(function)
11 0.000 0.000 0.000 0.000 :0(rindex)
5556 0.043 0.000 0.043 0.000 :0(round)
2912 0.011 0.000 0.011 0.000 :0(rpartition)
6 0.000 0.000 0.000 0.000 :0(rsplit)
7682 0.018 0.000 0.018 0.000 :0(rstrip)
9 0.000 0.000 0.000 0.000 :0(search)
4 0.000 0.000 0.000 0.000 :0(seed)
2 0.000 0.000 0.000 0.000 :0(set_string_function)
1 0.000 0.000 0.000 0.000 :0(set_typeDict)
3132 0.007 0.000 0.008 0.000 :0(setattr)
145 0.000 0.000 0.000 0.000 :0(setdefault)
9 0.000 0.000 0.000 0.000 :0(seterrobj)
3 0.000 0.000 0.000 0.000 :0(setlocale)
1 0.002 0.002 0.002 0.002 :0(setprofile)
34 0.000 0.000 0.000 0.000 :0(setter)
50 0.000 0.000 0.000 0.000 :0(sizeof)
2769 0.014 0.000 0.017 0.000 :0(sort)
9 0.000 0.000 0.000 0.000 :0(sorted)
160 0.000 0.000 0.000 0.000 :0(split)
1 0.000 0.000 0.000 0.000 :0(sqrt)
4077 0.007 0.000 0.007 0.000 :0(startswith)
1465 0.014 0.000 0.014 0.000 :0(stat)
57 0.001 0.000 0.001 0.000 :0(strftime)
292 0.001 0.000 0.001 0.000 :0(strip)
1 0.000 0.000 0.007 0.007 :0(strptime)
650 0.009 0.000 0.009 0.000 :0(sub)
1 0.000 0.000 0.000 0.000 :0(sysconf)
1 0.000 0.000 0.000 0.000 :0(tell)
148 0.000 0.000 0.000 0.000 :0(time)
2753 0.096 0.000 0.096 0.000 :0(today)
8 0.000 0.000 0.000 0.000 :0(tolist)
3 0.000 0.000 0.000 0.000 :0(toordinal)
242 0.001 0.000 0.001 0.000 :0(translate)
4 0.000 0.000 0.000 0.000 :0(txt2obj)
1 0.000 0.000 0.000 0.000 :0(tzset)
1 0.000 0.000 0.000 0.000 :0(union)
2 0.000 0.000 0.000 0.000 :0(unlink)
2 0.000 0.000 0.000 0.000 :0(unsetenv)
437 0.002 0.000 0.002 0.000 :0(update)
118 0.000 0.000 0.000 0.000 :0(upper)
6 0.000 0.000 0.000 0.000 :0(urandom)
4 0.000 0.000 0.000 0.000 :0(utf_8_decode)
18 0.000 0.000 0.000 0.000 :0(values)
7 0.000 0.000 0.000 0.000 :0(vars)
3 0.000 0.000 0.000 0.000 :0(view)
2874 10.869 0.004 10.869 0.004 :0(waitKey)
1 0.000 0.000 0.000 0.000 :0(waitpid)
1 0.000 0.000 0.000 0.000 :0(warn)
1 0.000 0.000 0.000 0.000 :0(weekday)
2 0.000 0.000 0.000 0.000 :0(write)
1 0.000 0.000 0.000 0.000 :0(writer)
12 0.000 0.000 0.000 0.000 :0(writerow)
89170 0.452 0.000 0.452 0.000 :0(zeros)
317 0.004 0.000 0.029 0.000 <__array_function__ internals>:2(<module>)
2751 0.026 0.000 0.200 0.000 <__array_function__ internals>:2(amax)
