CMDLINE /usr/bin/python3 main.py
MEM 238.472656 1578323595.4907
MEM 238.472656 1578323595.6038
MEM 238.472656 1578323595.7182
MEM 238.472656 1578323595.8361
MEM 238.472656 1578323595.9538
MEM 238.472656 1578323596.0722
MEM 238.472656 1578323596.1898
MEM 238.472656 1578323596.3113
MEM 238.472656 1578323596.4367
MEM 238.472656 1578323596.5514
MEM 238.472656 1578323596.6651
MEM 238.472656 1578323596.7881
MEM 238.472656 1578323596.9126
MEM 238.472656 1578323597.0290
MEM 238.472656 1578323597.1523
MEM 238.472656 1578323597.2735
MEM 238.472656 1578323597.3937
MEM 238.472656 1578323597.5095
MEM 238.472656 1578323597.6236
MEM 238.472656 1578323597.7432
MEM 238.472656 1578323597.8540
MEM 238.472656 1578323597.9682
MEM 238.472656 1578323598.0793
MEM 238.472656 1578323598.2091
MEM 238.472656 1578323598.3287
MEM 238.472656 1578323598.4484
MEM 238.472656 1578323598.5677
MEM 238.472656 1578323598.6779
MEM 238.472656 1578323598.7923
MEM 238.472656 1578323598.9058
MEM 238.472656 1578323599.0222
MEM 238.472656 1578323599.1376
MEM 238.472656 1578323599.2529
MEM 238.472656 1578323599.3686
MEM 238.472656 1578323599.4837
MEM 238.472656 1578323599.5988
MEM 238.472656 1578323599.7133
MEM 238.472656 1578323599.8286
MEM 238.472656 1578323599.9430
MEM 238.472656 1578323600.0579
MEM 238.472656 1578323600.1728
MEM 238.472656 1578323600.2872
MEM 238.472656 1578323600.4015
MEM 238.472656 1578323600.5159
MEM 238.472656 1578323600.6388
MEM 238.472656 1578323600.7663
MEM 238.472656 1578323600.8788
MEM 238.472656 1578323600.9908
MEM 238.472656 1578323601.1033
MEM 238.472656 1578323601.2158
MEM 238.472656 1578323601.3273
MEM 238.472656 1578323601.4416
MEM 238.472656 1578323601.5558
MEM 238.472656 1578323601.6703
MEM 238.472656 1578323601.7889
MEM 238.472656 1578323601.9076
MEM 238.472656 1578323602.0251
MEM 238.472656 1578323602.1462
MEM 238.472656 1578323602.2579
MEM 238.472656 1578323602.3758
MEM 238.472656 1578323602.4856
MEM 238.472656 1578323602.5985
MEM 238.472656 1578323602.7147
MEM 238.472656 1578323602.8345
MEM 238.472656 1578323602.9466
MEM 238.472656 1578323603.0588
MEM 238.472656 1578323603.1711
MEM 238.472656 1578323603.2952
MEM 238.472656 1578323603.4316
MEM 238.472656 1578323603.5554
MEM 238.472656 1578323603.6668
MEM 238.472656 1578323603.7905
MEM 238.472656 1578323603.9047
MEM 238.472656 1578323604.0167
MEM 238.472656 1578323604.1260
MEM 238.472656 1578323604.2407
MEM 238.472656 1578323604.3532
MEM 238.472656 1578323604.4639
MEM 238.472656 1578323604.5793
MEM 238.472656 1578323604.6986
MEM 238.472656 1578323604.8096
MEM 238.472656 1578323604.9196
MEM 238.472656 1578323605.0303
MEM 238.472656 1578323605.1441
MEM 238.472656 1578323605.2533
MEM 238.472656 1578323605.3635
MEM 238.472656 1578323605.4788
MEM 238.472656 1578323605.5912
MEM 238.472656 1578323605.7071
MEM 238.472656 1578323605.8245
MEM 238.472656 1578323605.9437
MEM 238.472656 1578323606.0611
MEM 238.472656 1578323606.1809
MEM 238.472656 1578323606.2992
MEM 238.472656 1578323606.4152
MEM 238.472656 1578323606.5355
MEM 238.472656 1578323606.6503
MEM 238.472656 1578323606.7722
MEM 238.472656 1578323606.8962
MEM 238.472656 1578323607.0045
